site;dominio;ranking;readability
Bing;geeks;Top5;0.9407
Bing;javat;Top2;0.9765
Google;javat;Top2;0.9530
Google;stack;Top1;0.6967
Yahoo;stack;Top5;0.5914
Bing;stack;Top5;0.5914
Yahoo;stack;Top1;0.8934
Yahoo;javat;Top3;0.9770
Bing;javat;Top4;0.9770
Bing;stack;Top1;0.8934
Yahoo;stack;Top4;0.7084
Yahoo;geeks;Top5;0.7457
Google;geeks;Top1;0.8936
Bing;stack;Top4;0.4674
Bing;geeks;Top5;0.7457
Yahoo;stack;Top4;0.4674
Google;stack;Top4;0.7955
Bing;stack;Top1;0.9607
Yahoo;stack;Top1;0.9607
Yahoo;tuto;Top2;0.9125
Google;stack;Top1;0.8085
Google;geeks;Top2;0.9277
Google;tuto;Top4;0.9125
Bing;tuto;Top2;0.9125
Bing;javat;Top4;0.9522
Google;geeks;Top3;0.5938
Yahoo;tuto;Top3;0.4932
Bing;geeks;Top1;0.5938
Bing;tuto;Top3;0.4932
Google;stack;Top4;0.8702
Yahoo;geeks;Top1;0.5938
Google;javat;Top1;0.9522
Yahoo;javat;Top5;0.9522
Google;stack;Top1;0.6857
Yahoo;stack;Top4;0.6893
Yahoo;stack;Top3;0.5995
Bing;stack;Top2;0.7661
Bing;stack;Top4;0.6893
Google;geeks;Top4;0.7987
Yahoo;stack;Top2;0.9395
Google;stack;Top2;0.6064
Bing;stack;Top2;0.9395
Yahoo;stack;Top4;0.6080
Bing;stack;Top4;0.6080
Google;stack;Top2;0.6080
Google;stack;Top4;0.8117
Bing;stack;Top4;0.5682
Yahoo;stack;Top5;0.7005
Yahoo;stack;Top2;0.8117
Bing;stack;Top2;0.8117
Yahoo;stack;Top4;0.5682
Yahoo;stack;Top5;0.5682
Yahoo;stack;Top1;0.8117
Google;stack;Top4;0.8117
Bing;stack;Top1;0.8117
Yahoo;javat;Top1;0.6028
Bing;javat;Top1;0.6028
Bing;geeks;Top4;0.7580
Yahoo;geeks;Top5;0.7580
Google;geeks;Top3;0.7580
Google;javat;Top1;0.6028
Yahoo;stack;Top1;0.3755
Bing;stack;Top1;0.3755
Google;stack;Top2;0.8117
Yahoo;stack;Top1;0.5594
Google;stack;Top1;0.7916
Bing;stack;Top1;0.5594
Google;geeks;Top5;0.8019
Yahoo;geeks;Top3;0.8019
Google;geeks;Top5;0.8019
Yahoo;stack;Top3;0.9331
Bing;stack;Top3;0.9331
Yahoo;stack;Top1;0.7969
Yahoo;geeks;Top4;0.2774
Bing;stack;Top1;0.7969
Bing;geeks;Top5;0.2774
Google;geeks;Top4;0.8111
Bing;stack;Top3;0.1295
Yahoo;stack;Top3;0.1295
Google;stack;Top1;0.7969
Yahoo;geeks;Top2;0.8434
Google;geeks;Top4;0.8434
Yahoo;stack;Top1;0.5757
Bing;stack;Top1;0.1661
Bing;geeks;Top2;0.8434
Google;stack;Top1;0.5757
Bing;stack;Top3;0.8331
Google;stack;Top1;0.8331
Yahoo;geeks;Top1;0.5081
Yahoo;stack;Top3;0.8331
Bing;geeks;Top1;0.5081
Google;stack;Top2;0.1743
Yahoo;tuto;Top1;0.7275
Google;stack;Top5;0.8623
Yahoo;code;Top2;0.7990
Google;tuto;Top4;0.7275
Bing;geeks;Top4;0.9380
Google;javat;Top2;0.7560
Yahoo;geeks;Top5;0.9380
Google;javat;Top1;0.9254
Bing;code;Top1;0.7990
Bing;tuto;Top2;0.7275
Google;javat;Top4;0.3491
Google;geeks;Top5;0.8390
Google;stack;Top2;0.1321
Google;stack;Top1;0.5065
Bing;geeks;Top2;0.8111
Yahoo;stack;Top2;0.8072
Yahoo;stack;Top1;0.1295
Bing;stack;Top1;0.5065
Google;geeks;Top2;0.8111
Bing;code;Top5;0.5678
Bing;stack;Top4;0.7969
Bing;stack;Top2;0.3166
Bing;javat;Top5;0.9668
Bing;code;Top3;0.7882
Google;stack;Top1;0.9297
Yahoo;code;Top3;0.7882
Yahoo;code;Top4;0.8236
Yahoo;stack;Top2;0.3166
Bing;code;Top4;0.7882
Yahoo;code;Top5;0.7882
Google;code;Top4;0.8636
Bing;geeks;Top1;0.7707
Yahoo;geeks;Top1;0.7707
Google;code;Top5;0.8452
Google;javat;Top1;0.5158
Bing;stack;Top5;0.6374
Bing;javat;Top3;0.5158
Yahoo;javat;Top3;0.5158
Yahoo;stack;Top5;0.6374
Google;stack;Top2;0.6374
Google;stack;Top5;0.8321
Bing;stack;Top1;0.8803
Yahoo;stack;Top1;0.8803
Bing;stack;Top4;0.0946
Yahoo;stack;Top4;0.0946
Google;stack;Top5;0.5392
Yahoo;stack;Top3;0.9428
Bing;stack;Top3;0.9428
Google;javat;Top2;0.7332
Bing;stack;Top2;0.8608
Google;geeks;Top1;0.8798
Yahoo;stack;Top3;0.8608
Yahoo;stack;Top5;0.9405
Google;geeks;Top1;0.8529
Bing;geeks;Top1;0.8529
Yahoo;geeks;Top1;0.8529
Google;javat;Top1;0.9287
Yahoo;javat;Top4;0.9287
Yahoo;tuto;Top1;0.8015
Bing;javat;Top4;0.9287
Bing;tuto;Top1;0.8015
Bing;javat;Top5;0.8109
Yahoo;javat;Top5;0.8109
Bing;stack;Top1;0.9098
Yahoo;stack;Top1;0.9098
Yahoo;stack;Top1;0.9200
Bing;stack;Top2;0.9200
Bing;stack;Top1;0.9200
Yahoo;stack;Top1;0.9200
Yahoo;stack;Top4;0.8224
Bing;stack;Top5;0.8224
Yahoo;stack;Top2;0.8471
Google;stack;Top3;0.5896
Bing;stack;Top3;0.5522
Google;stack;Top4;0.8907
Google;tuto;Top2;0.9234
Yahoo;stack;Top4;0.8796
Yahoo;code;Top2;0.9234
Bing;stack;Top4;0.8796
Yahoo;tuto;Top3;0.9234
Bing;tuto;Top1;0.8585
Yahoo;tuto;Top1;0.8585
Bing;code;Top2;0.9234
Bing;tuto;Top3;0.9234
Google;stack;Top1;0.9283
Yahoo;code;Top5;0.9234
Bing;code;Top5;0.9234
Google;stack;Top1;0.9651
Yahoo;stack;Top5;0.7006
Bing;stack;Top1;0.7349
Yahoo;stack;Top1;0.7349
Bing;stack;Top5;0.7006
Bing;stack;Top3;0.9889
Google;stack;Top4;0.9444
Yahoo;stack;Top3;0.9889
Bing;stack;Top1;0.8852
Bing;geeks;Top4;0.6624
Yahoo;stack;Top1;0.8852
Yahoo;geeks;Top4;0.6624
Bing;javat;Top5;0.7576
Google;stack;Top1;0.8821
Bing;tuto;Top2;0.6875
Yahoo;tuto;Top1;0.6875
Bing;stack;Top1;0.8486
Bing;javat;Top3;0.9583
Yahoo;stack;Top1;0.8486
Yahoo;javat;Top2;0.9583
Google;stack;Top1;0.5807
Bing;stack;Top1;0.5807
Yahoo;stack;Top1;0.5807
Yahoo;stack;Top1;0.7830
Bing;stack;Top1;0.7830
Google;stack;Top1;0.7830
Yahoo;stack;Top5;0.6959
Yahoo;stack;Top2;0.7526
Bing;stack;Top5;0.6959
Bing;stack;Top2;0.7526
Bing;tuto;Top3;0.3197
Google;stack;Top2;0.8102
Yahoo;tuto;Top3;0.3197
Yahoo;stack;Top4;0.7671
Bing;stack;Top5;0.7671
Bing;stack;Top3;0.8096
Google;stack;Top1;0.8096
Yahoo;stack;Top3;0.6826
Google;geeks;Top1;0.8936
Yahoo;tuto;Top2;0.5712
Google;stack;Top4;0.7955
Bing;tuto;Top4;0.5712
Yahoo;stack;Top2;0.5754
Bing;stack;Top4;0.8392
Yahoo;stack;Top3;0.7976
Bing;stack;Top5;0.8972
Bing;stack;Top3;0.9131
Bing;stack;Top2;0.6203
Bing;geeks;Top1;0.8766
Google;geeks;Top2;0.6488
Google;geeks;Top1;0.8093
Google;stack;Top3;0.7394
Yahoo;geeks;Top1;0.8766
Google;stack;Top1;0.7386
Yahoo;stack;Top5;0.4719
Bing;stack;Top1;0.7386
Yahoo;stack;Top1;0.7386
Bing;stack;Top3;0.6826
Bing;stack;Top5;0.4719
Yahoo;stack;Top3;0.6826
Google;javat;Top3;0.9706
Google;geeks;Top1;0.9169
Yahoo;geeks;Top4;0.9169
Bing;geeks;Top4;0.9169
Bing;stack;Top3;0.6308
Bing;stack;Top1;0.4484
Yahoo;stack;Top2;0.6308
Yahoo;stack;Top4;0.5292
Google;stack;Top1;0.2871
Yahoo;stack;Top1;0.4484
Bing;stack;Top5;0.5292
Google;stack;Top1;0.9167
Yahoo;geeks;Top5;0.4765
Bing;geeks;Top5;0.4765
Yahoo;stack;Top1;0.9167
Bing;stack;Top1;0.9167
Google;stack;Top2;0.6163
Bing;javat;Top2;0.6471
Yahoo;javat;Top1;0.6471
Google;javat;Top5;0.6471
Google;stack;Top3;0.9910
Bing;stack;Top1;0.9910
Yahoo;stack;Top1;0.9910
Google;stack;Top2;0.5869
Bing;stack;Top4;0.0498
Yahoo;stack;Top4;0.0498
Bing;javat;Top3;0.9160
Google;javat;Top1;0.9160
Yahoo;code;Top5;0.9194
Bing;geeks;Top1;0.9228
Google;geeks;Top3;0.9228
Yahoo;geeks;Top2;0.9228
Yahoo;tuto;Top3;0.9325
Yahoo;stack;Top1;0.7066
Bing;stack;Top1;0.7066
Google;stack;Top1;0.7066
Bing;stack;Top2;0.6356
Yahoo;stack;Top2;0.6356
Google;stack;Top1;0.5268
Bing;stack;Top1;0.8903
Yahoo;stack;Top3;0.9461
Bing;stack;Top5;0.7577
Yahoo;stack;Top1;0.8903
Bing;stack;Top4;0.9461
Bing;geeks;Top1;0.8785
Yahoo;geeks;Top1;0.8785
Yahoo;stack;Top3;0.3958
Bing;stack;Top3;0.3958
Google;stack;Top1;0.3958
Google;geeks;Top2;0.8785
Yahoo;tuto;Top5;0.2599
Bing;tuto;Top5;0.2599
Bing;tuto;Top2;0.2234
Yahoo;tuto;Top2;0.2234
Yahoo;stack;Top1;0.5266
Bing;stack;Top1;0.5266
Google;stack;Top2;0.6043
Bing;javat;Top4;0.8462
Yahoo;stack;Top3;0.7683
Yahoo;geeks;Top1;0.8229
Bing;geeks;Top1;0.8229
Google;stack;Top3;0.9997
Yahoo;javat;Top4;0.8462
Bing;stack;Top3;0.7683
Google;geeks;Top1;0.8229
Yahoo;stack;Top2;0.8987
Yahoo;stack;Top1;0.8505
Google;stack;Top3;0.8505
Bing;stack;Top2;0.8382
Bing;stack;Top1;0.8505
Bing;stack;Top2;0.6800
Google;geeks;Top1;0.7457
Yahoo;geeks;Top2;0.7457
Bing;geeks;Top5;0.8195
Google;stack;Top3;0.6800
Yahoo;stack;Top4;0.6800
Bing;geeks;Top1;0.7457
Yahoo;code;Top5;0.7824
Bing;geeks;Top5;0.9058
Yahoo;geeks;Top4;0.9058
Bing;stack;Top1;0.8832
Yahoo;stack;Top1;0.8832
Yahoo;geeks;Top4;0.9228
Google;javat;Top4;0.9160
Bing;geeks;Top4;0.9228
Google;geeks;Top2;0.9228
Yahoo;tuto;Top3;0.7219
Bing;tuto;Top3;0.7219
Bing;code;Top4;0.6719
Bing;stack;Top5;0.8461
Yahoo;code;Top4;0.5796
Yahoo;code;Top5;0.8037
Bing;code;Top4;0.5796
Google;code;Top3;0.5796
Bing;code;Top5;0.8037
Google;code;Top4;0.5796
Yahoo;stack;Top1;0.7085
Google;stack;Top1;0.7085
Bing;stack;Top1;0.7085
Google;stack;Top1;0.7085
Bing;stack;Top1;0.7085
Yahoo;stack;Top1;0.7085
Google;code;Top5;0.5796
Bing;stack;Top1;0.8265
Bing;tuto;Top2;0.7539
Google;stack;Top3;0.7480
Yahoo;stack;Top1;0.8265
Yahoo;tuto;Top2;0.7539
Bing;stack;Top3;0.5120
Google;geeks;Top3;0.7954
Bing;geeks;Top1;0.6847
Google;geeks;Top1;0.8061
Yahoo;geeks;Top1;0.6847
Bing;geeks;Top5;0.7954
Yahoo;tuto;Top5;0.3568
Bing;geeks;Top2;0.8061
Bing;javat;Top1;0.8309
Yahoo;javat;Top1;0.8309
Google;javat;Top1;0.8309
Bing;stack;Top1;0.9013
Google;stack;Top4;0.4879
Yahoo;stack;Top1;0.9013
Google;code;Top5;0.8860
Yahoo;javat;Top3;0.5992
Bing;stack;Top4;0.5868
Yahoo;stack;Top4;0.5868
Bing;javat;Top2;0.5992
Google;javat;Top1;0.5992
Google;stack;Top2;0.6130
Yahoo;stack;Top4;0.5868
Bing;javat;Top2;0.5992
Google;javat;Top1;0.5992
Yahoo;javat;Top3;0.5992
Google;stack;Top2;0.6130
Yahoo;stack;Top2;0.9125
Google;stack;Top2;0.8522
Bing;stack;Top2;0.9125
Yahoo;stack;Top5;0.7705
Google;stack;Top3;0.7705
Bing;stack;Top3;0.7882
Google;stack;Top1;0.7755
Bing;geeks;Top2;0.7551
Yahoo;geeks;Top2;0.7551
Google;geeks;Top3;0.7551
Google;stack;Top1;0.0552
Yahoo;stack;Top1;0.8419
Bing;stack;Top4;0.9555
Bing;stack;Top1;0.8419
Google;tuto;Top4;0.9019
Google;code;Top2;0.8617
Google;stack;Top1;0.3958
Google;geeks;Top3;0.8785
Bing;geeks;Top1;0.8785
Yahoo;stack;Top3;0.3958
Bing;stack;Top3;0.3958
Yahoo;geeks;Top1;0.8785
Google;stack;Top4;0.7955
Google;geeks;Top2;0.8936
Yahoo;stack;Top3;0.9499
Bing;tuto;Top1;0.5712
Bing;stack;Top3;0.9499
Yahoo;tuto;Top2;0.5712
Yahoo;stack;Top1;0.6961
Bing;stack;Top2;0.7246
Bing;stack;Top4;0.2325
Bing;stack;Top1;0.6127
Bing;stack;Top3;0.6121
Yahoo;stack;Top4;0.8886
Yahoo;stack;Top5;0.6182
Bing;stack;Top5;0.5291
Google;geeks;Top3;0.7940
Yahoo;geeks;Top4;0.7819
Bing;geeks;Top4;0.7819
Yahoo;tuto;Top3;0.4932
Bing;stack;Top5;0.5077
Google;geeks;Top2;0.7545
Bing;tuto;Top3;0.4932
Yahoo;javat;Top1;0.7476
Google;javat;Top2;0.7476
Google;geeks;Top4;0.7403
Bing;javat;Top1;0.7476
Google;stack;Top3;0.4955
Bing;stack;Top1;0.3593
Yahoo;stack;Top1;0.3593
Google;geeks;Top2;0.8848
Bing;stack;Top1;0.2106
Bing;geeks;Top2;0.8848
Google;stack;Top1;0.2106
Yahoo;stack;Top1;0.2106
Yahoo;geeks;Top2;0.8848
Google;geeks;Top1;0.8982
Google;code;Top3;0.7646
Bing;tuto;Top3;0.3875
Google;stack;Top5;0.8346
Yahoo;geeks;Top1;0.8982
Bing;geeks;Top1;0.8982
Bing;stack;Top4;0.5500
Bing;stack;Top5;0.8346
Yahoo;stack;Top5;0.8548
Bing;tuto;Top3;0.5978
Bing;code;Top2;0.8138
Bing;stack;Top5;0.8548
Yahoo;tuto;Top3;0.5978
Yahoo;stack;Top1;0.5817
Yahoo;code;Top4;0.9386
Google;stack;Top2;0.5817
Google;code;Top4;0.9386
Bing;code;Top4;0.9386
Google;code;Top5;0.9386
Google;stack;Top1;0.9780
Bing;stack;Top1;0.5817
Yahoo;code;Top2;0.8138
Yahoo;code;Top5;0.5604
Yahoo;stack;Top3;0.8937
Yahoo;code;Top4;0.8276
Google;geeks;Top1;0.8936
Bing;stack;Top3;0.8937
Google;stack;Top4;0.7955
Bing;code;Top5;0.5604
Bing;code;Top4;0.8276
Yahoo;javat;Top3;0.9997
Bing;javat;Top3;0.9997
Yahoo;stack;Top5;0.7651
Yahoo;stack;Top1;0.8821
Bing;geeks;Top2;0.9273
Bing;geeks;Top5;0.7551
Google;stack;Top1;0.8624
Bing;stack;Top1;0.8821
Yahoo;geeks;Top2;0.9273
Google;geeks;Top2;0.7394
Google;stack;Top3;0.5817
Bing;stack;Top5;0.9499
Yahoo;tuto;Top2;0.5712
Bing;tuto;Top1;0.5712
Google;stack;Top2;0.7955
Google;geeks;Top4;0.8936
Google;geeks;Top2;0.7457
Bing;geeks;Top2;0.7457
Yahoo;geeks;Top2;0.7457
Bing;code;Top5;0.8276
Yahoo;geeks;Top5;0.8936
Bing;tuto;Top1;0.5712
Google;javat;Top5;0.4568
Yahoo;tuto;Top1;0.5712
Yahoo;javat;Top3;0.9516
Bing;javat;Top4;0.9516
Bing;stack;Top1;0.7118
Yahoo;stack;Top1;0.7118
Google;stack;Top2;0.5260
Google;javat;Top1;0.9516
Bing;stack;Top3;0.3700
Google;code;Top4;0.8312
Bing;stack;Top5;0.8526
Yahoo;stack;Top1;0.8345
Google;geeks;Top1;0.7243
Google;stack;Top3;0.5073
Yahoo;stack;Top5;0.8526
Bing;stack;Top1;0.8345
Yahoo;stack;Top1;0.7949
Google;stack;Top3;0.6190
Bing;stack;Top1;0.7949
Bing;stack;Top1;0.9750
Yahoo;stack;Top1;0.9750
Google;stack;Top1;0.9750
Yahoo;stack;Top2;0.5069
Bing;stack;Top2;0.9760
Yahoo;stack;Top5;0.7529
Yahoo;stack;Top4;0.9531
Yahoo;stack;Top1;0.8573
Bing;stack;Top4;0.7529
Bing;stack;Top1;0.8573
Bing;stack;Top5;0.9531
Bing;stack;Top1;0.6702
Google;stack;Top1;0.6702
Yahoo;stack;Top3;0.5931
Yahoo;stack;Top1;0.6702
Yahoo;stack;Top5;0.7550
Bing;stack;Top1;0.3635
Bing;stack;Top4;0.5083
Google;stack;Top1;0.3635
Bing;stack;Top2;0.4449
Yahoo;stack;Top2;0.4449
Yahoo;stack;Top1;0.3635
Yahoo;stack;Top4;0.5083
Bing;javat;Top1;0.9997
Google;javat;Top3;0.9997
Yahoo;javat;Top1;0.9997
Google;geeks;Top2;0.9273
Google;javat;Top4;0.8172
Yahoo;geeks;Top2;0.9273
Bing;geeks;Top2;0.9273
Google;geeks;Top2;0.9273
Yahoo;geeks;Top1;0.9273
Bing;javat;Top2;0.9997
Bing;geeks;Top1;0.9273
Google;javat;Top3;0.9997
Yahoo;javat;Top2;0.9997
Bing;javat;Top3;0.8006
Bing;geeks;Top2;0.7866
Google;code;Top1;0.9343
Yahoo;code;Top2;0.8411
Yahoo;code;Top4;0.9343
Google;stack;Top4;0.7837
Google;stack;Top5;0.7170
Bing;code;Top1;0.9343
Yahoo;geeks;Top1;0.7866
Bing;code;Top3;0.8411
Google;code;Top2;0.8411
Bing;stack;Top1;0.5871
Google;stack;Top2;0.1410
Yahoo;stack;Top1;0.5871
Yahoo;tuto;Top4;0.8367
Bing;tuto;Top2;0.8367
Google;stack;Top4;0.4911
Google;javat;Top1;0.5894
Yahoo;tuto;Top1;0.3169
Bing;stack;Top2;0.9307
Yahoo;stack;Top2;0.9307
Google;tuto;Top5;0.3169
Bing;tuto;Top1;0.3169
Yahoo;stack;Top1;0.0605
Google;stack;Top1;0.8653
Bing;stack;Top1;0.0605
Yahoo;stack;Top4;0.5385
Bing;geeks;Top5;0.8440
Bing;geeks;Top1;0.7938
Google;stack;Top5;0.8468
Bing;tuto;Top3;0.7790
Yahoo;javat;Top2;0.7672
Google;javat;Top1;0.7672
Yahoo;geeks;Top1;0.7938
Google;geeks;Top2;0.7938
Yahoo;tuto;Top3;0.7790
Bing;javat;Top2;0.7672
Bing;geeks;Top1;0.7680
Google;stack;Top1;0.8603
Yahoo;geeks;Top1;0.7680
Google;code;Top3;0.7304
Bing;stack;Top1;0.8613
Yahoo;code;Top3;0.6602
Google;stack;Top1;0.8613
Yahoo;stack;Top1;0.8613
Bing;javat;Top3;0.8239
Bing;stack;Top5;0.9213
Google;javat;Top1;0.8239
Yahoo;javat;Top3;0.8239
Yahoo;stack;Top5;0.9213
Yahoo;geeks;Top3;0.9243
Bing;geeks;Top3;0.9243
Google;geeks;Top4;0.9243
Google;javat;Top1;0.8737
Google;javat;Top3;0.8506
Bing;geeks;Top3;0.8945
Yahoo;geeks;Top4;0.8945
Google;geeks;Top2;0.8945
Bing;geeks;Top5;0.8830
Google;geeks;Top1;0.8830
Yahoo;javat;Top5;0.8506
Yahoo;code;Top4;0.8882
Yahoo;geeks;Top1;0.8878
Bing;geeks;Top1;0.8878
Google;geeks;Top1;0.8878
Google;tuto;Top5;0.9448
Bing;code;Top4;0.8882
Google;javat;Top3;0.9915
Yahoo;geeks;Top5;0.9737
Google;code;Top4;0.8989
Google;stack;Top1;0.8081
Yahoo;stack;Top1;0.8392
Bing;stack;Top1;0.8392
Google;stack;Top4;0.7933
Bing;tuto;Top1;0.4449
Google;stack;Top2;0.8364
Google;tuto;Top4;0.4449
Yahoo;tuto;Top1;0.4449
Yahoo;stack;Top2;0.5894
Bing;stack;Top2;0.5894
Bing;tuto;Top5;0.6590
Yahoo;tuto;Top3;0.6590
Bing;geeks;Top1;0.8733
Google;geeks;Top4;0.8733
Yahoo;geeks;Top1;0.8733
Bing;geeks;Top2;0.8733
Google;geeks;Top1;0.8733
Bing;stack;Top4;0.5262
Google;stack;Top4;0.5262
Yahoo;geeks;Top1;0.8733
Yahoo;stack;Top4;0.5262
Yahoo;stack;Top5;0.8895
Bing;javat;Top4;0.9607
Yahoo;tuto;Top3;0.8290
Google;stack;Top2;0.8895
Yahoo;geeks;Top2;0.9569
Yahoo;javat;Top4;0.9607
Bing;tuto;Top3;0.8290
Bing;geeks;Top2;0.9569
Bing;stack;Top5;0.8895
Google;geeks;Top1;0.9569
Google;javat;Top3;0.9607
Bing;geeks;Top1;0.9281
Yahoo;geeks;Top1;0.9281
Google;stack;Top4;0.8768
Yahoo;geeks;Top4;0.9302
Bing;geeks;Top4;0.9302
Yahoo;geeks;Top2;0.8979
Bing;geeks;Top3;0.8979
Yahoo;geeks;Top3;0.9092
Bing;geeks;Top5;0.7694
Bing;geeks;Top3;0.9092
Google;stack;Top2;0.6822
Google;stack;Top1;0.8365
Yahoo;stack;Top1;0.6822
Yahoo;tuto;Top2;0.7845
Bing;tuto;Top2;0.7845
Bing;stack;Top1;0.6822
Bing;stack;Top5;0.8437
Google;stack;Top4;0.7626
Bing;stack;Top1;0.7310
Bing;tuto;Top3;0.4327
Bing;javat;Top1;0.7739
Bing;geeks;Top2;0.9139
Bing;geeks;Top5;0.9239
Google;stack;Top5;0.6462
Yahoo;geeks;Top4;0.9239
Google;javat;Top4;0.7739
Yahoo;geeks;Top3;0.9139
Bing;stack;Top4;0.8716
Google;geeks;Top2;0.9139
Yahoo;tuto;Top1;0.4327
Yahoo;stack;Top5;0.4033
Yahoo;stack;Top2;0.8716
Bing;stack;Top1;0.0163
Yahoo;stack;Top3;0.4219
Google;stack;Top1;0.4219
Yahoo;stack;Top2;0.3574
Yahoo;code;Top3;0.3688
Yahoo;stack;Top5;0.3857
Google;stack;Top1;0.8883
Bing;stack;Top1;0.3574
Bing;code;Top3;0.3688
Google;geeks;Top5;0.8943
Google;javat;Top4;0.9997
Yahoo;geeks;Top1;0.9273
Yahoo;javat;Top2;0.9997
Bing;tuto;Top5;0.6429
Google;geeks;Top2;0.9273
